,translated,comment,sent,off
5533,ನಿಂಗಾಪ್ಪ ಹಟಗನ್ವಾರ್ ಅತ್ಯುತ್ತಮ ಮಾರ್ಗವೆಂದರೆ 4Uíykhfjklbgkkin,ningappa hutagannavar the best way is 4uíykhfjklbgkkñ,unknown,Offensive_Untargetede
4490,ಸೂಪರ್ ಹಾಡಿತು ಗುರು,Super sang guru,Positive,Not_offensive
6216,ಕೀಳು ಕಾಡಿಯೂ,ಕೇಳಿ ಕಾದಿರುವ ಬಾಂಧವರೇnಭುವಿಯಲ್ಲಿ ಅವನ ಅರಿತವರೆnಯಾರಿಲ್ಲ ಬಿಡಿ,Positive,Offensive_Targeted_Insult_Individual
3196,ನಾನ್ ಅಸ್ಥಾಪಿಸು madhe,Nan uninstall madhe,Positive,Not_offensive
6064,ಪುಟ್ ದಿನ,ಎಷ್ಟು ದಿನ ಆಯಿತು ಕೇಳಿ ಓ ತುಂಬಾ ಖುಷಿ ಆಯಿತು,Positive,Not_offensive
2386,ಹೌದಾ ಮೂವೀ ಆಡ್ಬುಟಾ ..... Tumba ಚೆನ್ನೇಜಿಡ್ ..... ಆದರೆ ಸ್ವಾಲ್ಪಾ ಗೊಂದಲದ Ansatte ಕೊನೆಗೊಳ್ಳುತ್ತದೆ ..... Adi ಮತ್ತು Diya Ondagiddre Innu ChennaGirtittu ..... Elru Tumba Chennag Act Madidare,Howdu movie Adbhuta..... tumba chennagide..... but ending swalpa disturbing ansatte..... adi and diya ondagiddidre innu chennagirtittu..... Elru tumba chennag act madidare,Negative,Offensive_Targeted_Insult_Group
5898,ಇದು ಆರಿಟ್ರೆ ಸಟಿಸೊನಾತ್ಮಕವಾಗಿ ....,ಇದು ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸೋ ಅವತಾರ....,Positive,Not_offensive
209,@BAD ಬಾಯ್ ಯಪ್ಪ ಮೊಡ್ಲು ಆರ್ಟಾ ಹಿಂದೆ ತಾರಾ ಟೈಪ್ ಮಾಧು,@BAD BOY yappa Modlu Arta ago Tara type maadu,Negative,Offensive_Untargetede
4011,ಸರ್ ನಿಮ್ಮಾ ಥಂಬ್ನೇಲ್ ಸಾರಿ ಇಲ್ನಾನ್ನಾನು ಇಇ ಚಲನಚಿತ್ರವು ಮಡಿಟ್ಟಿತಿನಿ ಆಡ್ರೆ ಬೆಂಗಳೂರು ಲುಲಾ ಕ್ಯಾಡೆ 10 ಅನ್ನು ಪ್ರಯತ್ನಿಸಿ,Sir nimma thumbnail sari illanNaanu ee film nodoke try madtiddini aadre bengaluralli ella kade 10,Mixed,Offensive_Targeted_Insult_Individual
2872,Loo nim makha muccha e yoice gu ಇಷ್ಟವಿಲ್ಲ,Loo Nim Makha muccha e Video gu Dislike yenro nim Hendti Munde Haga avr character Nodi kaliro life Andre yenu antha thu nanmakla,Negative,Offensive_Targeted_Insult_Other
718,@ @ Ahgowda.,@Venu ahgbowdu.,unknown,Not_offensive
92,2020 ಬ್ಲಾಕ್ಬಸ್ಟರ್ ಹಿಟ್ ಚಲನಚಿತ್ರ. ಜೈ ಕರ್ನಾಟಕ,2020 Blockbuster hit movie. Jai Karnataka,Positive,Not_offensive
4392,ಸೂಪರ್ ಗುರು ನಿನೂ ನಿನ್ನನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ,Super guru ninu love you,Positive,Not_offensive
3541,ಕೇವಲ ಡಿ ಬಾಸ್ OK JAI ಕನ್ನಡ ಎಲ್ಲಾ ಚಲನಚಿತ್ರಗಳು Hmmm ಕೊಟಿಗೊಬ್ಬಾ ಬಿಟ್ಟು hehehe,Only d boss ok jai Kannada all movies hmmm kotigobba bittu hehehe,Negative,Offensive_Targeted_Insult_Group
4304,ಸೂಪರ್ ಬ್ರೋ ನಾನು ಟಿಕ್ ಟೋಕ್ ಮಾಡತಿಟ್ಟಿದ್ ಆಡ್ರೆ ಅಡೆನು ನಮ್ ದೇಶ್ ಕೆಂಟ್ಲುಯು ಹೆಕೆನಾಲ್ಲಾ ನಾಮ್ ದೇಶ್ ಬೆಕು ಆಡ್ಕೆ ಐಲಾ ಚೀಶ್ ಅಪ್ಲಿಕೇಶನ್ಗಳು ಮ್ಯಾಡಿಡಿನಿ ಸ್ಥಾಪಿಸಿ,Super bro naanu Tik Tok maadtidde aadre adenu nam desha kintluu hechenalla namge nam desh beku adke yella chinaa apps na in install maadidini,Positive,Not_offensive
4269,ಸೂಪರ್ ಅಗೈಡ್ ಸಾಂಗ್ ಮಾತ್ರಾ ಎನ್ 940 ಇಷ್ಟಪಡದಿರಲು ಮತ್ತು ಇನ್ನೂ ಎಣಿಸುವ,Super agide song maatra Haaands Up  n940 dislikes and still counting,Positive,Not_offensive
193,@Ambrish Mallad ಲುಕ್ಕಾ ಅಭಿಮಾನಿಗಳು ನಿಮ್ಮಾ ಲುಕ್ಕಾ ಸುಡೆಪ್ಪಿ ಚಿತ್ರ ನೋಡೋ ಎಲಾ ಫ್ಲಾಪ್ ಆಗ್ನೇಟ್ ಸೈಡ್ ಆಕ್ಟರ್ ಫಿಟ್ ಬಾವಲಿ ವಯಸ್ಸು ಎಡ್ ಡೇನ್ ಬಲೇಗಾರಾ ಸರಿಯಾಗಿ ಟಿಂಡ್ ಬಾರ್ಯಿಸ್ ಹೆಲ್ ಬಾವಲಿ ®,@Ambrish Mallad luccha fans nimma luccha suderpdu movie nodo Ella flop agtive side actor get fit baavali age eddane balegaara correctagi tindu barlike hell baavali🤣🤣,Negative,Offensive_Targeted_Insult_Other
3070,ಚಲನಚಿತ್ರ ಯವಗಾ ಬಾಸ್,Movie yavaga boss,Mixed,Not_offensive
6244,ಗುರು ಅವರಿಗೆ ತಾಕತ್ತಿದ್ದರೆ ಯೂಟ್ಯೂಬ್ ಅರಸ್ ಆಗೋಕೆ ಹೇಳು 10 15 20 ಸೆಕೆಂಡ್ ಮಾಡೋ ಟಿಕ್ ಟಾಕ್ ಸಡೆಗಲಿಗೆ ಯೂಟ್ಯೂಬಲ್ಲಿ ಎಂಟು ಹತ್ತು ಇಪ್ಪತ್ತು ನಿಮಿಷ ವಿಡಿಯೋ ಮಾಡೋಕೆ ತಾಕತ್ತಿದೆಯಾ ಕೇಳು nnLove ಯು ರೋಸ್ಟ್ ತಂಡದ ಅಂಡ್ ಟ್ರೋಲ್ ತಂಡ,ಗುರು ಅವರಿಗೆ ತಾಕತ್ತಿದ್ದರೆ ಯೂಟ್ಯೂಬ್ ಅರಸ್ ಆಗೋಕೆ ಹೇಳು 10 15 20 ಸೆಕೆಂಡ್ ಮಾಡೋ ಟಿಕ್ ಟಾಕ್ ಸಡೆಗಲಿಗೆ ಯೂಟ್ಯೂಬಲ್ಲಿ ಎಂಟು ಹತ್ತು ಇಪ್ಪತ್ತು ನಿಮಿಷ ವಿಡಿಯೋ ಮಾಡೋಕೆ ತಾಕತ್ತಿದೆಯಾ ಕೇಳು nnLove u ರೋಸ್ಟ್ team ಅಂಡ್ ಟ್ರೋಲ್ team,Positive,Offensive_Targeted_Insult_Group
4005,ಸರ್ ನಿಮ್ ಖಾತೆ ನಂಬರ್ ಕೊಡಿ ಸರ್,Sir nim account num kodi sir,Positive,Not_offensive
